"STATE","DISTRICT","SUBMERSIBLE PUMPS","CENTRIFUGAL PUMPS","TURBINE","MANUAL/ANIMAL","OITHERS","TOTAL"
"MADHYA PRADESH","GUNA",12045,13263,34,0,1605,26947
"MADHYA PRADESH","GWALIOR",4466,1371,5,8,2003,7853
"MADHYA PRADESH","HARDA",7922,1589,41,7,3990,13549
"MADHYA PRADESH","HOSHANGABAD",11921,5618,2501,0,1863,21903
"MADHYA PRADESH","INDORE",27,0,0,0,0,27
"MADHYA PRADESH","JABALPUR",4820,4692,6,0,309,9827
"MADHYA PRADESH","JHABUA",15769,4803,209,52,1070,21903
"MADHYA PRADESH","KATNI",3335,5001,113,120,3463,12032
"MADHYA PRADESH","KHANDWA",42187,1811,110,0,140,44248
"MADHYA PRADESH","KHARGONE",61042,2032,141,0,365,63580
"MADHYA PRADESH","MANDLA",1523,566,20,24,140,2273
"MADHYA PRADESH","MANDSAUR",96701,545,53,24,1257,98580
"MADHYA PRADESH","MORENA",8813,5432,91,140,6486,20962
"MADHYA PRADESH","NARSINGHPUR",14443,7817,411,0,1384,24055
"MADHYA PRADESH","NEEMUCH",37626,3336,2045,0,5118,48125
"MADHYA PRADESH","PANNA",1404,4114,52,9,1062,6641
"MADHYA PRADESH","RAISEN",6981,1869,78,0,1236,10164
"MADHYA PRADESH","RAJGARH",41209,28069,159,44,1433,70914
"MADHYA PRADESH","RATLAM",24500,17036,898,58,4379,46871
"MADHYA PRADESH","REWA",4261,4203,228,116,3622,12430
"MADHYA PRADESH","SAGAR",16647,34598,1268,0,7830,60343
"MADHYA PRADESH","SATNA",5072,7304,588,6,4810,17780
"MADHYA PRADESH","SEHORE",12694,14692,20,24,1761,29191
"MADHYA PRADESH","SEONI",4276,6450,51,78,7255,18110
"MADHYA PRADESH","SHAHDOL",143,1937,9,3,10,2102
"MADHYA PRADESH","SHAJAPUR",38477,2753,34,1,10656,51921
"MADHYA PRADESH","SHEOPUR",1827,299,0,1,270,2397
"MADHYA PRADESH","SHIVPURI",8120,30802,386,0,6979,46287
"MADHYA PRADESH","SIDHI",3475,12537,32,123,2256,18423
"MADHYA PRADESH","TIKAMGARH",5722,28760,207,231,9745,44665
"MADHYA PRADESH","UJJAIN",42980,159,100,45,1577,44861
"MADHYA PRADESH","UMARIA",643,980,79,12,849,2563
"MADHYA PRADESH","VIDISHA",4451,9576,65,0,6186,20278
"MAHARASHTRA","AHMEDNAGAR",38787,106023,5842,474,25482,176608
"MAHARASHTRA","AKOLA",1218,19539,130,0,569,21456
"MAHARASHTRA","AMRAVATI",14460,61472,2996,0,2123,81051
"MAHARASHTRA","AURANGABAD",34197,60602,4579,77,1730,101185
"MAHARASHTRA","BEED",15019,24461,2196,1,474,42151
"MAHARASHTRA","BHANDARA",5118,11325,1103,189,231,17966
"MAHARASHTRA","BULDANA",1773,52966,8004,13,9637,72393
"MAHARASHTRA","CHANDRAPUR",2118,17312,966,132,394,20922
"MAHARASHTRA","DHULE",6247,48447,194,8,4443,59339
"MAHARASHTRA","GADCHIROLI",1923,8019,1482,777,923,13124
"MAHARASHTRA","GONDIYA",1178,6383,569,864,486,9480
"MAHARASHTRA","HINGOLI",8846,19994,201,0,8,29049
"MAHARASHTRA","JALGAON",17974,95784,2427,25,6011,122221
"MAHARASHTRA","JALNA",18380,50323,112,0,2395,71210
"MAHARASHTRA","KOLHAPUR",9066,30953,1017,24,2350,43410
"MAHARASHTRA","LATUR",15453,20948,1727,5,120,38253
"MAHARASHTRA","NAGPUR",9768,57381,202,578,1766,69695
"MAHARASHTRA","NANDED",8717,21650,1660,1,119,32147
"MAHARASHTRA","NANDURBAR",1181,15206,324,3,225,16939
"MAHARASHTRA","NASHIK",73418,103982,765,74,554,178793
"MAHARASHTRA","OSMANABAD",6057,39745,1206,37,937,47982
"MAHARASHTRA","PARBHANI",5624,24788,836,2,74,31324
"MAHARASHTRA","PUNE",0,0,0,0,129745,129745
"MAHARASHTRA","RAIGHAR",441,2787,27,379,972,4606
"MAHARASHTRA","RATNAGIRI",808,1823,12,416,341,3400
"MAHARASHTRA","SANGLI",3602,82928,1017,2,1258,88807
"MAHARASHTRA","SATARA",9114,56192,3093,7,824,69230
"MAHARASHTRA","SINDHUDURGA",594,5710,207,619,309,7439
"MAHARASHTRA","SOLAPUR",14402,111768,2823,5,3844,132842
"MAHARASHTRA","THANE",2818,4397,43,989,44,8291
"MAHARASHTRA","WARDHA",2652,43959,118,80,485,47294
"MAHARASHTRA","WASHIM",1891,23849,33,0,272,26045
"MAHARASHTRA","YAVATMAL",4908,34943,854,0,240,40945
"MEGHALAYA","JAINTIA HILLS",0,0,0,7,1,8
"MEGHALAYA","WEST GARO HILLS",0,1,0,1,0,2
"MEGHALAYA","WEST KHASI HILLS",0,0,0,1,2,3
"NAGALAND","DIMAPUR",3,3,1,8,84,99
"ODISHA","ANGUL",303,4152,43,25602,1547,31647
"ODISHA","BALASORE",126,340,1,519,1656,2642
"ODISHA","BARGARH",217,4741,140,12479,6033,23610
"ODISHA","BHADRAK",1,44,0,20,189,254
"ODISHA","BOLANGIR",224,5617,525,39760,13146,59272
"ODISHA","BOUDH",7,905,0,10374,1589,12875
"ODISHA","CUTTACK",33,2836,1,9567,3154,15591
"ODISHA","DEOGARH",43,618,4,5815,1009,7489
"ODISHA","DHENKANAL",95,3310,7,4356,4600,12368
"ODISHA","GAJAPATI",10,46,29,1168,3144,4397
"ODISHA","GANJAM",160,1809,2365,20441,7821,32596
"ODISHA","JAGATSINGHPUR",7,178,0,164,607,956
"ODISHA","JAJAPUR",53,884,43,1031,1207,3218
"ODISHA","JHARSUGUDA",45,2287,109,2364,2001,6806
"ODISHA","KALAHANDI",69,813,2,15531,5148,21563
"ODISHA","KANDHAMAL",13,1223,4,4287,3857,9384
"ODISHA","KENDRAPARA",0,112,1,35,221,369
"ODISHA","KEONJHAR",167,1012,28,16245,6247,23699
"ODISHA","KHURDA",7,254,7,8634,6008,14910
"ODISHA","KORAPUT",6,219,6,2319,2826,5376
"ODISHA","MALKANAGIRI",124,55,2,563,1452,2196
"ODISHA","MAYURBHANJA",116,1091,32,5136,7065,13440
"ODISHA","NAWARANGAPUR",4,655,2,8810,2099,11570
"ODISHA","NAYAGARH",161,1375,8,7331,7592,16467
"ODISHA","NUAPADA",379,502,1,9727,3930,14539
"ODISHA","PURI",3,180,5,134,332,654
"ODISHA","RAYAGADA",5,56,22,1172,1097,2352
"ODISHA","SAMBALPUR",560,5636,21,8295,3389,17901
"ODISHA","SONEPUR",38,1237,5,10569,1544,13393
"ODISHA","SUNDARGARH",114,4344,32,11187,8358,24035
"PUDUCHERRY","PUDUCHERRY",25,58,0,0,1,84
"RAJASTHAN","AJMER",6441,27675,228,1627,40469,76440
"RAJASTHAN","ALWAR",31327,29815,159,10,20452,81763
"RAJASTHAN","BANSWARA",1044,4794,70,3,4723,10634
"RAJASTHAN","BARAN",3533,8554,0,298,3652,16037
"RAJASTHAN","BARMER",11998,5502,229,1,3426,21156
"RAJASTHAN","BHARATPUR",83,3349,446,14,3230,7122
"RAJASTHAN","BHILWARA",15867,45312,2338,13875,42903,120295
"RAJASTHAN","BIKANER",912,36,1,0,26,975
"RAJASTHAN","BUNDI",5920,13112,45,805,4414,24296
"RAJASTHAN","CHITTORGARH",38230,44018,1557,1865,11777,97447
"RAJASTHAN","CHURU",2566,1035,1400,1,1039,6041
"RAJASTHAN","DAUSA",9807,11588,552,26,12305,34278
"RAJASTHAN","DHOLPUR",110,2484,219,0,1141,3954
"RAJASTHAN","DUNGARPUR",2311,10926,55,622,4108,18022
"RAJASTHAN","GANGANAGAR",0,12,0,0,0,12
"RAJASTHAN","HANUMANGARH",142,2933,0,0,207,3282
"RAJASTHAN","JAIPUR",39559,30549,1026,24,38719,109877
"RAJASTHAN","JAISALMER",82,15,0,17,1,115
"RAJASTHAN","JALORE",17812,17260,461,23,15808,51364
"RAJASTHAN","JHALAWAR",13349,49041,59,1437,6877,70763
"RAJASTHAN","JHUNJHUNU",22824,16615,64,0,4461,43964
"RAJASTHAN","JODHPUR",1531,457,56,0,5481,7525
"RAJASTHAN","KAROLI",5649,10601,108,3,11428,27789
"RAJASTHAN","KOTA",3617,1547,664,6,5241,11075
"RAJASTHAN","NAGAUR",13693,5613,183,1,11122,30612
"RAJASTHAN","PALI",7658,18754,178,191,21226,48007
"RAJASTHAN","RAJSAMAND",4400,16356,36,15990,17509,54291
"RAJASTHAN","SAWAI MADHOPUR",10626,14504,124,10,6634,31898
"RAJASTHAN","SIKAR",11030,28082,3426,25,6162,48725
"RAJASTHAN","SIROHI",5449,11665,14,17,2880,20025
"RAJASTHAN","TONK",6533,20208,430,242,24562,51975
"RAJASTHAN","UDAIPUR",10540,24302,268,13135,13426,61671
"TAMIL NADU","COIMBATORE",6705,82693,237,46,13436,103117
"TAMIL NADU","CUDDALORE",2166,4656,240,0,788,7850
"TAMIL NADU","DHARMAPURI",4497,73772,223,386,1489,80367
"TAMIL NADU","DINDIGUL",6549,84180,397,183,3746,95055
"TAMIL NADU","ERODE",16267,90160,324,476,14621,121848
"TAMIL NADU","KANCHEEPURAM",4189,50792,322,2,423,55728
"TAMIL NADU","KANYAKUMARI",237,1216,7,0,114,1574
"TAMIL NADU","KARUR",3588,33345,79,61,4371,41444
"TAMIL NADU","KRISHNAGIRI",6916,33802,576,149,4499,45942
"TAMIL NADU","MADURAI",673,47347,26,39,6460,54545
"TAMIL NADU","NAGAPATTINAM",188,3865,3,0,193,4249
"TAMIL NADU","NAMAKKAL",19893,44219,413,36,1324,65885
"TAMIL NADU","NILGIRIS",58,782,2,2,56,900
"TAMIL NADU","PERAMBALUR",7160,33017,857,113,4105,45252
"TAMIL NADU","PUDUKKOTTAI",5157,22664,26,2521,1509,31877
"TAMIL NADU","RAMANATHAPURAM",238,3742,100,216,112,4408
"TAMIL NADU","SALEM",8105,90608,360,293,4325,103691
"TAMIL NADU","SIVAGANGA",1264,15031,113,170,4114,20692
"TAMIL NADU","THANJAVUR",563,978,12,1,277,1831
"TAMIL NADU","THENI",916,24406,69,1,383,25775
"TAMIL NADU","THIRUVALLUR",7660,4016,18,1,554,12249
"TAMIL NADU","THIRUVARUR",153,258,0,0,4,415
"TAMIL NADU","TIRUCHIRAPPALLI",5846,59594,70,84,7882,73476
"TAMIL NADU","TIRUNELVELI",22178,50884,490,113,13549,87214
"TAMIL NADU","TIRUVANNAMALAI",31200,131114,1609,1059,4967,169949
"TAMIL NADU","TUTICORIN DISTRICT",3038,17891,132,82,4462,25605
"TAMIL NADU","VELLORE",13898,88657,596,647,10416,114214
"TAMIL NADU","VILLUPPURAM",78447,70981,1210,24,5029,155691
"TAMIL NADU","VIRUDHUNAGAR",1789,25570,192,240,10582,38373
"TRIPURA","DHALAI",0,0,0,1,1,2
"TRIPURA","SOUTH TRIPURA",6,18,0,46,69,139
"TRIPURA","WEST TRIPURA",6,7,0,0,9,22
"UTTAR PRADESH","AGRA",195,310,1,0,1021,1527
"UTTAR PRADESH","ALLAHABAD",112,2625,3,1,315,3056
"UTTAR PRADESH","AMBEDAKAR NAGAR",1,18,0,0,96,115
