"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"GUJARAT","VADODARA",5379,61,2,0,0,367,5809
"HARYANA","AMBALA",4,4563,0,0,0,0,4567
"HARYANA","BHIWANI",2843,967,0,0,0,0,3810
"HARYANA","FARIDABAD",0,28,0,0,0,0,28
"HARYANA","FATEHABAD",3,3002,0,0,0,0,3005
"HARYANA","GURGAON",56,1943,0,0,0,0,1999
"HARYANA","HISSAR",0,437,0,0,0,0,437
"HARYANA","JHAJJAR",146,2200,0,0,0,0,2346
"HARYANA","JIND",18,1857,0,0,0,0,1875
"HARYANA","KAITHAL",31,4386,0,0,0,0,4417
"HARYANA","KARNAL",8,5259,0,0,0,0,5267
"HARYANA","KURUKSHETRA",21,3575,0,0,0,0,3596
"HARYANA","MAHENDRAGARH",1265,227,0,0,0,0,1492
"HARYANA","MEWAT",16,3356,0,0,0,0,3372
"HARYANA","PANCHKULA",32,316,0,0,0,0,348
"HARYANA","PANIPAT",49,2518,0,0,0,0,2567
"HARYANA","REWARI",239,802,0,0,0,0,1041
"HARYANA","ROHTAK",4,333,0,0,0,0,337
"HARYANA","SIRSA",21,3136,0,0,0,0,3157
"HARYANA","SONEPAT",279,2256,0,0,0,0,2535
"HARYANA","YAMUNANAGAR",43,1000,0,0,0,0,1043
"HIMACHAL PRADESH","Bilaspur",2,0,0,0,0,0,2
"HIMACHAL PRADESH","Hamirpur",3,0,0,0,0,0,3
"HIMACHAL PRADESH","Kangra",118,0,0,0,0,0,118
"HIMACHAL PRADESH","Mandi",1,0,0,0,0,0,1
"HIMACHAL PRADESH","Sirmaur",37,0,0,0,0,3,40
"HIMACHAL PRADESH","Solan",76,0,0,0,5,0,81
"HIMACHAL PRADESH","Una",220,6,0,0,0,0,226
"JAMMU & KASHMIR","JAMMU",53,0,0,0,0,0,53
"JAMMU & KASHMIR","KATHUA",26,1,0,0,0,0,27
"JHARKHAND","CHATRA",0,5,0,0,0,0,5
"JHARKHAND","DEOGHAR",0,152,0,0,0,1,153
"JHARKHAND","DHANBAD",0,0,0,0,10,0,10
"JHARKHAND","EAST SINGHBHUM",49,26,0,0,0,1,76
"JHARKHAND","GARHWA",0,0,0,0,29,0,29
