"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"CHHATISGARH","KAWARDHA",4,12.16,42,175.92,0,0,2,6.38,0,0,3,22.68,19,84.85,70,301.99
"CHHATISGARH","KORIA",0,0,4,3.18,0,0,0,0,0,0,0,0,0,0,4,3.18
"CHHATISGARH","MAHASAMUND",1,1.5,3,10.05,0,0,0,0,0,0,0,0,0,0,4,11.55
"CHHATISGARH","RAIGARH",425,55.47,215,457.67,5,1,27,61.5,1,0,0,0,1,0,674,575.64
"CHHATISGARH","RAIPUR",31,5.4,58,83.49,3,1.75,40,185.37,2,24,11,9.17,2,0,147,309.18
"CHHATISGARH","RAJNANDGAON",2,6.86,7,22.16,1,28.24,7,23,0,0,0,0,0,0,17,80.26
"CHHATISGARH","SURGUJA",6,3.9,56,73.84,3,6,11,19.11,0,0,0,0,0,0,76,102.85
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,7,6.67,1,1.17,1,11.8,0,0,0,0,0,0,9,19.64
"DELHI","ALIPUR",0,0,4,17.4,0,0,0,0,0,0,0,0,0,0,4,17.4
"DELHI","MAHRAULI",197,528.31,2,2.8,470,1317.51,29,232.73,1,1.5,13,36.6,7,0,719,2119.45
"DELHI","NAJAFGARH",20,43.6,103,220.87,198,219.32,95,117.44,3,0.3,62,111.72,23,0.6,504,713.85
"DELHI","NANGLOI",0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
"GOA","NORTH GOA",0,0,10,85.65,0,0,10,83.9,0,0,5,3.95,0,0,25,173.5
"GOA","SOUTH GOA",0,0,0,0,0,0,10,5.6,0,0,2,5,10,2,22,12.6
"GUJARAT","AHMEDABAD",31,63.29,2532,9086.92,1538,12620.12,1872,19537.73,34,73.93,19,54.28,15,113.43,6041,41549.7
"GUJARAT","AMRELI",0,0,183,606.69,5,5.26,1,1.15,0,0,0,0,0,0,189,613.1
"GUJARAT","ANAND",41,815.48,42,754.27,2347,48467.53,5,103.95,4,56.87,30,534.4,13,0,2482,50732.5
"GUJARAT","BANASKANTHA",752,1430.19,27172,413970.38,23464,78561.57,792,1446.1,9,82.92,4867,27792.1,45,12.48,57101,523295.74
"GUJARAT","BHARUCH",4,78.03,1,50,4,146.12,150,4190.85,1,55,0,0,0,0,160,4520
"GUJARAT","BHAVNAGAR",0,0,22,48.42,0,0,1,2.34,0,0,0,0,0,0,23,50.76
"GUJARAT","DAHOD",0,0,2,11.65,0,0,2,11.4,0,0,0,0,0,0,4,23.05
"GUJARAT","DANG",0,0,0,0,0,0,2,13,0,0,0,0,0,0,2,13
"GUJARAT","GANDHINAGAR",9,45.73,0,0,1702,17690.6,4394,36705.47,14,96.68,0,0,0,0,6119,54538.48
"GUJARAT","JAMNAGAR",2,3.57,1,7,1,2.8,0,0,0,0,0,0,0,0,4,13.37
"GUJARAT","JUNAGADH",16,44.42,2732,14624.03,0,0,0,0,3,4.82,0,0,1,20,2752,14693.27
