"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",60,2072.76,59,432.5,41,2600,0,0,0,0,1,100,7,0,168,5205.26
"UTTAR PRADESH","GHAZIABAD",170,8283.8,16,107,17,830.48,0,0,0,0,4,43.2,9,7.2,216,9271.68
"UTTAR PRADESH","GHAZIPUR",296,10520.74,117,517.13,293,11419.49,15,82.05,1,4.2,21,736.36,37,0,780,23279.97
"UTTAR PRADESH","GONDA",156,9363.2,261,826.2,61,5443.48,49,143.32,0,0,3,59,151,0,681,15835.2
"UTTAR PRADESH","GORAKHPUR",615,22705.04,621,15627.96,304,16620.76,29,348.4,0,0,11,465.32,74,1206.72,1654,56974.2
"UTTAR PRADESH","HAMIRPUR",257,17469.26,770,2268,157,12876.64,9,176.72,0,0,6,250,29,979.32,1228,34019.94
"UTTAR PRADESH","HARDOI",548,27400,337,23792.28,10,606,64,197,0,0,0,0,1,0,960,51995.28
"UTTAR PRADESH","JALAUN",442,33942.94,972,8745.34,136,11507.91,181,1049.02,0,0,11,1150,18,822,1760,57217.21
"UTTAR PRADESH","JAUNPUR",384,24446.4,310,14834.22,118,5569.8,0,0,0,0,0,0,12,0,824,44850.42
"UTTAR PRADESH","JHANSI",5,1033.18,318,76.08,16,1474.82,39,11.94,0,0,1,186.62,30,6309.55,409,9092.19
"UTTAR PRADESH","JYOTIBA PHULENAGAR",148,17857.17,9,344.33,218,14610.66,0,0,0,0,3,0,15,0,393,32812.16
"UTTAR PRADESH","KANNAUJ",106,4124.41,37,112.2,78,2549.87,0,0,0,0,9,396.42,15,0,245,7182.9
"UTTAR PRADESH","KANPUR DEHAT",240,11354.02,347,4303.69,94,8471.6,421,6362.84,0,0,10,475,179,3756.91,1291,34724.06
"UTTAR PRADESH","KANPUR NAGAR",604,23637.52,466,7174.93,31,3218.48,8,31.9,0,0,148,4509.76,13,0,1270,38572.59
"UTTAR PRADESH","KAUSHAMBI",263,19893.39,787,26848.44,115,8312.87,438,16113.2,0,0,0,0,49,1119.41,1652,72287.31
"UTTAR PRADESH","KHERI",446,18185.58,277,1066.53,228,16307.44,139,479.33,1,1.2,44,2223.68,43,384.4,1178,38648.16
"UTTAR PRADESH","KUSHINAGAR",134,3729.65,2,11.5,14,879.03,25,85.46,0,0,0,0,3,13,178,4718.64
"UTTAR PRADESH","LALITPUR",1,60,102,3073.8,1,3.6,54,568.55,0,0,3,1.47,1,30,162,3737.42
"UTTAR PRADESH","LUCKNOW",99,2460.02,162,2289.14,37,1451.96,85,1868.59,0,0,3,9.03,21,16.5,407,8095.24
"UTTAR PRADESH","MAHA MAYA NAGAR",96,3476.12,27,202.92,13,359.74,0,0,0,0,2,35,12,0,150,4073.78
"UTTAR PRADESH","MAHARAJ GANJ",51,2824.92,16,225.14,95,6307.28,81,211.47,0,0,1,150,37,107,281,9825.81
"UTTAR PRADESH","MAHOBA",2,1008.11,5,131.82,0,0,184,5761.13,0,0,0,0,0,0,191,6901.06
"UTTAR PRADESH","MAINPURI",114,5442.44,178,733.3,192,10363.08,0,0,0,0,2,43.2,26,0,512,16582.02
"UTTAR PRADESH","MATHURA",4,163.7,28,532.53,5,420.42,6,383.6,0,0,0,0,1,0,44,1500.25
"UTTAR PRADESH","MAU",147,3853.41,139,1155.34,91,3980.84,0,0,0,0,10,371.43,13,0,400,9361.02
"UTTAR PRADESH","MEERUT",307,17956.24,230,7324.16,8,334.68,0,0,0,0,0,0,14,5.76,559,25620.84
"UTTAR PRADESH","MIRZAPUR",269,11963.65,49,357.5,101,7816,90,302.31,0,0,4,161.68,17,36,530,20637.14
"UTTAR PRADESH","MORADABAD",727,63208.04,68,552.48,428,19014.2,5,63,0,0,31,2585,45,555,1304,85977.72
"UTTAR PRADESH","MUZZAFARNAGAR",430,14081.72,333,1134.09,52,3356.3,1,1.5,0,0,0,0,9,88,825,18661.61
"UTTAR PRADESH","PILIBHIT",33,2994.6,70,184.53,72,5174.88,1,3,0,0,1,31.68,2,77.76,179,8466.45
"UTTAR PRADESH","PRATAPGARH",75,4625.96,45,853.1,20,1071.8,5,112,0,0,3,90,2,0,150,6752.86
"UTTAR PRADESH","RAEBARELI",174,10350.81,178,771.6,186,18645.84,49,649.95,0,0,10,629.56,18,0,615,31047.76
"UTTAR PRADESH","RAMPUR",147,33075.25,37,192.71,580,36951.96,0,0,0,0,3,180,25,0,792,70399.92
"UTTAR PRADESH","SAHARANPUR",510,23902.24,572,2996.32,68,4218.2,0,0,0,0,2,57.44,17,161,1169,31335.2
"UTTAR PRADESH","SANT KABIR NAGAR",305,7000.38,18,289.82,20,1283.53,6,92.52,0,0,3,62,46,118.84,398,8847.09
"UTTAR PRADESH","SANT RAVI DAS NAGAR",387,26029.55,48,650,41,2718.88,0,0,0,0,2,130,15,180,493,29708.43
"UTTAR PRADESH","SHAHJAHANPUR",461,26725.6,31,110.7,0,0,0,0,0,0,0,0,0,0,492,26836.3
"UTTAR PRADESH","SHRAWASTI",167,2787.73,29,94.9,43,1624.35,1,3.6,0,0,1,46.13,7,36.67,248,4593.38
"UTTAR PRADESH","SIDDHARTH NAGAR",48,1609.88,431,717.6,180,7140.84,14,89.7,0,0,2,161,9,39,684,9758.02
"UTTAR PRADESH","SITAPUR",684,76678.24,119,395.97,1,0.48,245,593.17,0,0,0,0,38,111.73,1087,77779.59
"UTTAR PRADESH","SONBHADRA",150,7087.33,264,3164.29,4,15.3,330,20988.91,0,0,9,559.4,43,0,800,31815.23
"UTTAR PRADESH","SULTANPUR",460,19666.56,206,4410.03,244,17734.04,41,847.25,0,0,46,2475.68,50,403.68,1047,45537.24
"UTTAR PRADESH","UNNAO",94,2100.12,115,486.15,28,942.52,4,25.11,0,0,1,0,10,0,252,3553.9
"UTTAR PRADESH","VARANASI",743,39740.82,617,3518.61,86,5339.72,165,799.7,0,0,8,918.32,13,383.64,1632,50700.81
"UTTARAKHAND","CHAMPAWAT",3,112,0,0,0,0,0,0,0,0,0,0,0,0,3,112
"UTTARAKHAND","DEHRA DUN",141,7871,10,155,1,8,37,2959,1,75,0,0,0,0,190,11068
"UTTARAKHAND","HARIDWAR",55,2958.11,280,1846.65,169,24511,8,1159.92,0,0,0,0,1,0.11,513,30475.79
"UTTARAKHAND","NAINITAL",134,5593.9,98,1738.9,1,90,0,0,0,0,0,0,2,0,235,7422.8
"UTTARAKHAND","UDHAM SINGH NAGAR",34,2530.94,346,12268.66,8,64.5,0,0,1,12,0,0,0,0,389,14876.1
"WEST BENGAL","BANKURA",0,0,0,0,156,3660.12,0,0,0,0,0,0,12,0,168,3660.12
"WEST BENGAL","BARDDHAMAN",0,0,6,289.03,629,35294.61,0,0,0,0,0,0,20,0,655,35583.64
"WEST BENGAL","BIRBHUM",2,36,2,29.08,109,2318,1,23.84,0,0,0,0,22,0,136,2406.92
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,0,0,152,8483.26,0,0,0,0,0,0,2,0,154,8483.26
"WEST BENGAL","DARJEELING",0,0,1,60,0,0,0,0,0,0,3,212,0,0,4,272
"WEST BENGAL","HAORA",0,0,0,0,199,6766.32,0,0,0,0,0,0,21,0,220,6766.32
"WEST BENGAL","HOOGHLY",0,0,0,0,522,23901.04,0,0,0,0,0,0,30,0,552,23901.04
"WEST BENGAL","JALPAIGURI",0,0,1,54,60,1410.94,4,207,0,0,95,7538.32,24,0,184,9210.26
"WEST BENGAL","KOCH BEHAR",2,15,5,94.12,67,2544.37,0,0,0,0,0,0,4,0,78,2653.49
"WEST BENGAL","MALDA",0,0,0,0,356,12345.91,0,0,0,0,0,0,21,0,377,12345.91
"WEST BENGAL","MURSHIDABAD",0,0,1,35,540,17051.48,0,0,0,0,0,0,91,0,632,17086.48
"WEST BENGAL","NADIA",0,0,2,136,732,29510.24,0,0,0,0,0,0,59,0,793,29646.24
"WEST BENGAL","NORTH 24 PARGANAS",0,0,0,0,357,10733.62,0,0,0,0,0,0,24,0,381,10733.62
"WEST BENGAL","PASHCHIM MIDNAPORE",0,0,0,0,385,9490.4,0,0,0,0,0,0,22,0,407,9490.4
"WEST BENGAL","PURBA MIDNAPORE",0,0,0,0,160,4631.49,0,0,0,0,0,0,27,0,187,4631.49
"WEST BENGAL","SOUTH 24 PARGANAS",0,0,0,0,49,1239.35,0,0,0,0,0,0,22,0,71,1239.35
"WEST BENGAL","UTTAR DINAJPUR",0,0,0,0,173,4833.97,0,0,0,0,0,0,24,0,197,4833.97
