"STATE","DISTRICT","0-6 HP","6-12 HP","12-18 HP","GREATER THAN 18 HP","NO LIFTING DEVICE","TOTAL"
"MAHARASHTRA","NAGPUR",21,0,0,0,0,21
"MAHARASHTRA","NANDED",1728,13,1,1,2,1745
"MAHARASHTRA","NANDURBAR",2650,2823,32,56,0,5561
"MAHARASHTRA","NASHIK",7441,10,4,5,0,7460
"MAHARASHTRA","OSMANABAD",12234,1991,22,17,81,14345
"MAHARASHTRA","PARBHANI",172,2,0,0,0,174
"MAHARASHTRA","PUNE",2229,0,0,0,0,2229
"MAHARASHTRA","RAIGHAR",71,0,0,0,0,71
"MAHARASHTRA","RATNAGIRI",19,0,0,0,0,19
"MAHARASHTRA","SANGLI",15469,1044,24,35,0,16572
"MAHARASHTRA","SATARA",694,18,0,0,0,712
"MAHARASHTRA","SINDHUDURGA",25,0,0,0,1,26
"MAHARASHTRA","SOLAPUR",17885,1242,24,191,3,19345
"MAHARASHTRA","THANE",68,0,0,0,0,68
"MAHARASHTRA","WARDHA",12,0,0,0,0,12
"MAHARASHTRA","WASHIM",618,7,0,0,0,625
"MAHARASHTRA","YAVATMAL",229,3,0,1,0,233
"MEGHALAYA","WEST GARO HILLS",2,0,0,3,0,5
"NAGALAND","DIMAPUR",2,0,0,0,0,2
"ODISHA","ANGUL",123,2,0,0,3,128
"ODISHA","BALASORE",126,1515,72,11,1,1725
"ODISHA","BARGARH",334,4,0,0,1,339
"ODISHA","BHADRAK",53,534,56,3,2,648
"ODISHA","BOLANGIR",22,0,0,0,6,28
"ODISHA","CUTTACK",71,256,26,1,0,354
"ODISHA","DEOGARH",183,1,4,1,13,202
"ODISHA","DHENKANAL",35,3,0,1,3,42
"ODISHA","GAJAPATI",2,0,0,0,1,3
"ODISHA","GANJAM",75,31,5,4,11,126
"ODISHA","JAGATSINGHPUR",35,239,24,2,0,300
"ODISHA","JAJAPUR",75,653,100,0,0,828
"ODISHA","JHARSUGUDA",106,26,1,0,1,134
"ODISHA","KALAHANDI",8,0,0,0,0,8
"ODISHA","KANDHAMAL",1,0,0,0,0,1
"ODISHA","KENDRAPARA",31,50,6,2,1,90
"ODISHA","KEONJHAR",89,49,0,2,1,141
"ODISHA","KHURDA",23,24,1,1,16,65
"ODISHA","KORAPUT",9,2,0,0,1,12
"ODISHA","MALKANAGIRI",16,7,0,0,2,25
"ODISHA","MAYURBHANJA",173,266,14,1,0,454
"ODISHA","NAWARANGAPUR",41,3,1,0,4,49
"ODISHA","NAYAGARH",10,0,0,0,1,11
"ODISHA","NUAPADA",18,1,0,0,0,19
"ODISHA","PURI",45,41,9,0,8,103
"ODISHA","RAYAGADA",22,0,2,0,3,27
"ODISHA","SAMBALPUR",46,2,0,0,2,50
"ODISHA","SONEPUR",2,0,0,0,3,5
"ODISHA","SUNDARGARH",112,1,0,0,5,118
"PUDUCHERRY","PUDUCHERRY",9,837,1014,130,0,1990
"PUNJAB","AMRITSER",93,2458,2,6,0,2559
"PUNJAB","BARNALA",229,6828,17191,2175,0,26423
"PUNJAB","BATHINDA",772,4104,501,176,0,5553
"PUNJAB","FARIDKOT",1561,907,9,1,0,2478
"PUNJAB","FATEHGARH SAHIB",9,49,234,140,0,432
"PUNJAB","FEROZEPUR",3044,8322,2140,132,0,13638
"PUNJAB","GURDASPUR",1504,877,5,92,0,2478
"PUNJAB","HOSHIARPUR",5021,13939,1081,634,0,20675
"PUNJAB","JALANDHAR",11576,17795,915,33,0,30319
"PUNJAB","KAPURTHALA",167,2381,25,11,0,2584
"PUNJAB","LUDHIANA",1867,22831,3486,137,0,28321
"PUNJAB","MANSA",271,2825,928,571,0,4595
"PUNJAB","MOGA",3860,29779,7608,633,0,41880
"PUNJAB","MOHALI",137,885,942,622,0,2586
"PUNJAB","MUKATSAR",18,152,0,50,0,220
"PUNJAB","NAWANSHAHAR",2184,6648,200,221,0,9253
"PUNJAB","PATIALA",55,2893,4606,1528,0,9082
"PUNJAB","ROPAR",266,181,27,165,0,639
"PUNJAB","SANGRUR",1505,31760,54282,13813,0,101360
"PUNJAB","TARN TARAN",30,11193,14,11,0,11248
"RAJASTHAN","AJMER",356,123,0,0,0,479
"RAJASTHAN","ALWAR",419,7306,1874,24,2,9625
"RAJASTHAN","BANSWARA",328,52,0,0,0,380
"RAJASTHAN","BARAN",874,16458,1177,97,0,18606
"RAJASTHAN","BARMER",148,504,704,1884,2,3242
"RAJASTHAN","BHARATPUR",271,6192,1795,417,4,8679
"RAJASTHAN","BHILWARA",663,710,2,5,0,1380
"RAJASTHAN","BIKANER",72,28,32,8224,0,8356
"RAJASTHAN","BUNDI",865,4087,96,74,17,5139
"RAJASTHAN","CHITTORGARH",3846,10697,95,51,16,14705
"RAJASTHAN","CHURU",50,14,86,3236,0,3386
"RAJASTHAN","DAUSA",148,2242,868,139,7,3404
"RAJASTHAN","DHOLPUR",9,464,485,180,12,1150
"RAJASTHAN","DUNGARPUR",155,86,0,0,0,241
"RAJASTHAN","HANUMANGARH",0,25,0,0,0,25
"RAJASTHAN","JAIPUR",1549,10900,476,6,0,12931
"RAJASTHAN","JAISALMER",15,9,7,2252,0,2283
"RAJASTHAN","JALORE",266,3102,1640,2093,0,7101
"RAJASTHAN","JHALAWAR",417,3173,145,0,0,3735
"RAJASTHAN","JHUNJHUNU",39,765,395,23,0,1222
"RAJASTHAN","JODHPUR",1210,1358,1275,18473,0,22316
"RAJASTHAN","KAROLI",211,2655,1761,51,0,4678
"RAJASTHAN","KOTA",1907,9459,1290,7,10,12673
"RAJASTHAN","NAGAUR",436,343,1521,11378,0,13678
"RAJASTHAN","PALI",257,569,97,607,0,1530
"RAJASTHAN","RAJSAMAND",224,156,1,0,7,388
"RAJASTHAN","SAWAI MADHOPUR",142,2728,1045,2,2,3919
"RAJASTHAN","SIKAR",328,4580,3321,624,0,8853
