State,Year,Veg_Irrig,Veg_Rainfed,Fruit_Irrig,Fruit_Rainfed
Uttarakhand,2005-06,6600,25300,8700,7700
West Bengal,1970-71,87825,44992,774,22061
West Bengal,1975-76,NA,NA,NA,NA
West Bengal,1980-81,NA,NA,NA,NA
West Bengal,1985-86,NA,NA,NA,NA
West Bengal,1990-91,NA,NA,NA,NA
West Bengal,1995-96,822000,92000,3000,40000
West Bengal,2000-01,905700,98100,8000,28900
West Bengal,2005-06,778200,172400,12600,34700
India,1970-71,617000,660000,208800,680000
India,1976-77,730000,792000,274000,827000
India,1980-81,NA,NA,NA,NA
India,1985-86,1278000,1295000,383000,1066000
India,1990-91,1447000,1092000,661000,1386000
India,1995-96,2200000,865000,825000,1539000
India,2000-01,NA,NA,NA,NA
India,2005-06,2242000,1079000,804000,1404000
India,2010-11,2763406.67,1254325.8,1450459.5,1678525.23
