0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
West Bengal,3,Burdwan,,,,,,,,3130,33446,471,,37047,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,4,Cooch Behar,,,,,,,,245,8218,2730,138,11331,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,5,Darjeeling,,,,,,,,21,99,692,2,814,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6,Hooghly,,,,,,,,3131,20365,13,3,23512,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,7,Howrah,,,,,,,,64,1111,2,,1177,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,8,Jalpaiguri,,,,,,,,80,1504,2784,2,4370,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,9,Malda,,,,,,,,1094,18918,26,63,20101,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,10,Midnapore,,,,,,,,3750,38492,422,1125,43789,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,11,Murshidabad,,,,,,,,3224,49242,233,,52699,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,12,Nadia,,,,,,,,10481,50369,287,,61137,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,13,North 24 Parganas,,,,,,,,4164,50524,29,36,54753,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,14,Purulia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,15,South 24 Parganas,,,,,,,,4,5272,229,4,5509,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,16,West Dinajpur,,,,,,,,679,21891,68,2,22640,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,TOTAL,,,,,,,,33237,323621,8163,1521,366542,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,check,,,,,,,,33237,323621,8163,1521,366542,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,1,Chandigarh,,,,,,,,156,11,,,167,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,TOTAL,,,,,,,,156,11,,,167,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,check,,,,,,,,156,11,0,0,167,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli,1,Dadra Nagar Haveli,,,,,,,,6,1,,,7,,,,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli,,TOTAL,,,,,,,,6,1,,,7,,,,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli,,check,,,,,,,,6,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,1,Daman,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,2,Diu,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,,TOTAL,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,,check,,,,,,,,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,1,Pondicherry,,,,,,,,1039,155,,11,1205,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,,TOTAL,,,,,,,,1039,155,,11,1205,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,,check,,,,,,,,1039,155,0,11,1205,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,1,Delhi,,,,,,,,10597,3067,,488,14152,,,,,,,,,,,,,,,,,,,,,,,
Delhi,,TOTAL,,,,,,,,10597,3067,,488,14152,,,,,,,,,,,,,,,,,,,,,,,
Delhi,,check,,,,,,,,10597,3067,0,488,14152,,,,,,,,,,,,,,,,,,,,,,,
