"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"CHHATISGARH","KORBA",70,897.08,7603,29591.58,37,764.65,64,88.87,4,0.91,33,374.13,67,288.75,7878,32005.97
"CHHATISGARH","KORIA",342,52.61,18667,53364.24,1,4,136,120.71,0,0,2,1.27,202,30.8,19350,53573.63
"CHHATISGARH","MAHASAMUND",568,1504.84,4796,6716.65,123,242.19,145,418.48,2,1.96,14,48.71,165,324.9,5813,9257.73
"CHHATISGARH","NARAYANPUR",33,132.06,470,1377.91,0,0,3,3.06,0,0,0,0,1,0,507,1513.03
"CHHATISGARH","RAIGARH",5029,291.63,15586,5230.44,119,183.94,335,921.4,19,0.8,1,2.86,112,45.8,21201,6676.87
"CHHATISGARH","RAIPUR",4130,1678.77,11900,35167.31,243,373.84,834,2187.46,79,433.51,148,574.45,898,1257.67,18232,41673.01
"CHHATISGARH","RAJNANDGAON",1649,1573.37,3896,3781.03,153,212.17,1662,4756.12,20,67.41,403,1519.23,793,198.51,8576,12107.84
"CHHATISGARH","SURGUJA",11546,1168.77,49715,12605.99,308,372.42,998,649.89,42,9.16,2,0.7,203,48.77,62814,14855.7
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",84,146.47,249,286.43,34,175.86,185,673.34,0,0,0,0,1,0,553,1282.1
"DELHI","ALIPUR",0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,7
"DELHI","NANGLOI",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"GOA","NORTH GOA",270,172.11,862,733.42,9,16.62,325,329.48,19,25.1,552,718.75,898,181.8,2935,2177.28
"GOA","SOUTH GOA",417,1162.32,275,251.09,13,22.95,126,192.33,27,34.3,220,181.03,258,644.5,1336,2488.52
"GUJARAT","AHMEDABAD",66,39,11215,7177.63,189,881.13,642,644.3,12,10.3,52,57.46,133,946.96,12309,9756.78
"GUJARAT","AMRELI",854,1867.29,61874,138705.26,1810,4235.86,2338,5617.4,34,57.69,140,239.72,1546,1901.34,68596,152624.56
"GUJARAT","ANAND",70,381.75,100,586.23,1077,6936.32,99,618.32,1,6.44,0,0,414,0,1761,8529.06
"GUJARAT","BANASKANTHA",7891,36423.84,6751,41644,1562,6893.45,990,2698.72,4,6,13,0.6,2,7.52,17213,87674.13
"GUJARAT","BHARUCH",48,430.57,708,7312.78,286,1765.64,951,6089.88,4,33.45,40,63.38,0,0,2037,15695.7
"GUJARAT","BHAVNAGAR",4014,10101.85,74474,208630.36,43,254.18,5510,9988.9,33,60.54,4,8.85,14,50.6,84092,229095.28
"GUJARAT","DAHOD",325,30.35,24010,41691.96,228,3,11185,27550.1,181,14.85,3,0,100,9.9,36032,69300.16
"GUJARAT","DANG",0,0,131,346.4,4,3.91,1381,1453.34,0,0,0,0,0,0,1516,1803.65
"GUJARAT","GANDHINAGAR",1,0,32,0,1817,8176.5,2,9,0,0,0,0,0,0,1852,8185.5
"GUJARAT","JAMNAGAR",86834,126303.69,7301,22999.89,2637,9412.53,259,763.14,4,9.72,10,121.46,336,954.35,97381,160564.78
"GUJARAT","JUNAGADH",4812,6981.96,132387,165918.09,352,514.73,49,157.74,37,33.41,9,11,34,22.5,137680,173639.43
"GUJARAT","KACHCHH",518,1553.91,5745,12055.1,1576,2568.13,417,827.74,18,32.1,3,4.5,717,384.46,8994,17425.94
"GUJARAT","KHEDA",360,863.03,8877,20697.95,2637,9493.48,6128,14108.2,4,10.19,63,13.07,21,38.49,18090,45224.41
"GUJARAT","MEHSANA",7,11.54,977,871.84,2676,7941.28,169,361.95,0,0,0,0,79,7.39,3908,9194
"GUJARAT","NARMADA",41,158.33,1078,3057.86,80,158.09,2570,8438.25,10,35.47,0,0,0,0,3779,11848
