"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"TAMIL NADU","VELLORE",32218,34911.68,69165,76860.43,1790,1833.53,1018,1581.9,43,4.9,92,49.63,9888,470.87,114214,115712.94
"TAMIL NADU","VILLUPPURAM",101397,100357.56,42413,43936.13,9766,14928.34,58,45.52,267,671.49,0,0,1790,1.68,155691,159940.72
"TAMIL NADU","VIRUDHUNAGAR",3294,11207.4,21128,89922.55,3117,3072.14,141,186.51,26,36.29,74,46.57,10593,249.52,38373,104720.98
"TRIPURA","DHALAI",0,0,1,0.3,0,0,0,0,0,0,0,0,1,2,2,2.3
"TRIPURA","SOUTH TRIPURA",0,0,135,496.88,1,25,0,0,0,0,0,0,3,7.5,139,529.38
"TRIPURA","WEST TRIPURA",2,3,10,35.8,6,37,2,3.35,0,0,0,0,2,3,22,82.15
"UTTAR PRADESH","AGRA",8,12.13,435,955.82,22,58.21,148,268.31,0,0,0,0,914,0,1527,1294.47
"UTTAR PRADESH","ALLAHABAD",17,100.03,2178,10210.23,72,342,473,1469.23,1,3.5,0,0,315,0,3056,12124.99
"UTTAR PRADESH","AMBEDAKAR NAGAR",17,37.5,2,3.8,0,0,0,0,0,0,0,0,96,0,115,41.3
"UTTAR PRADESH","AZAMGARH",0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0
"UTTAR PRADESH","BAGHPAT",1,0.5,0,0,0,0,0,0,0,0,0,0,68,0,69,0.5
"UTTAR PRADESH","BALLIA",10,102.17,135,379.71,1,1.45,2,10.5,0,0,0,0,567,0,715,493.83
"UTTAR PRADESH","BALRAMPUR",0,0,11,63.72,0,0,2,8.04,0,0,0,0,90,0,103,71.76
"UTTAR PRADESH","BANDA",16,63.81,763,2603.48,9,17.37,460,1245.92,0,0,15,50,248,0,1511,3980.58
"UTTAR PRADESH","BARABANKI",0,0,144,140.5,2,3.2,0,0,0,0,0,0,292,22,438,165.7
"UTTAR PRADESH","BAREILLY",0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0
"UTTAR PRADESH","BASTI",5,91.4,30,103.68,1,5,2,4,0,0,0,0,4,0,42,204.08
"UTTAR PRADESH","CHANDAULI",10,50,57,811.6,32,116.5,196,895.6,0,0,0,0,497,0,792,1873.7
"UTTAR PRADESH","CHITRAKOOT",6,30,1,1,0,0,3315,10175.5,0,0,0,0,655,12,3977,10218.5
"UTTAR PRADESH","DEORIA",1,5,9,15.25,0,0,17,32.4,0,0,0,0,0,0,27,52.65
"UTTAR PRADESH","FAIZABAD",0,0,147,225.4,0,0,60,82.7,0,0,0,0,98,0,305,308.1
"UTTAR PRADESH","FARRUKHABAD",0,0,1,2.5,0,0,0,0,0,0,0,0,23,0,24,2.5
"UTTAR PRADESH","FATEHPUR",1,10,408,1342.43,0,0,1,0.5,0,0,0,0,367,0,777,1352.93
"UTTAR PRADESH","FIROZABAD",0,0,10,20,0,0,0,0,0,0,0,0,41,0,51,20
"UTTAR PRADESH","GHAZIPUR",0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,0
"UTTAR PRADESH","GONDA",0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0
"UTTAR PRADESH","HAMIRPUR",242,753.76,1753,5477.1,20,59.31,206,767.11,11,37.64,255,766.19,395,0,2882,7861.11
"UTTAR PRADESH","HARDOI",0,0,135,341.47,2,2.26,5,22.1,0,0,0,0,211,0,353,365.83
"UTTAR PRADESH","JALAUN",84,143.25,496,837.45,1,2,33,59.5,0,0,0,0,113,0,727,1042.2
"UTTAR PRADESH","JAUNPUR",4,73.5,70,255.1,0,0,3,18.5,0,0,0,0,0,0,77,347.1
"UTTAR PRADESH","JHANSI",275,0,21785,1602.98,642,2.25,3183,261.26,1,0,3,7,2288,0,28177,1873.49
"UTTAR PRADESH","KANNAUJ",0,0,57,303.2,0,0,0,0,0,0,0,0,0,0,57,303.2
"UTTAR PRADESH","KANPUR DEHAT",2,19.5,74,298.53,1,20,81,402.83,0,0,0,0,0,0,158,740.86
"UTTAR PRADESH","KANPUR NAGAR",0,0,142,390.6,0,0,0,0,0,0,0,0,0,0,142,390.6
"UTTAR PRADESH","KAUSHAMBI",0,0,15,38.85,0,0,0,0,0,0,0,0,0,0,15,38.85
"UTTAR PRADESH","KHERI",2,44,98,271.97,0,0,63,185.24,0,0,0,0,0,0,163,501.21
"UTTAR PRADESH","LALITPUR",156,295.86,20122,53887.83,298,801.58,7268,22501.67,34,91.9,210,881.58,1431,2118.6,29519,80579.02
"UTTAR PRADESH","LUCKNOW",1,1.6,7,9.73,0,0,1,1.56,0,0,0,0,41,0,50,12.89
"UTTAR PRADESH","MAHARAJ GANJ",0,0,1,5,0,0,16,42.8,0,0,0,0,25,0,42,47.8
"UTTAR PRADESH","MAHOBA",6,10.2,4417,9733.07,121,265.5,10995,23928.96,5,16.94,100,209.66,381,4,16025,34168.33
"UTTAR PRADESH","MAINPURI",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"UTTAR PRADESH","MATHURA",0,0,109,162.83,1,2,0,0,0,0,0,0,266,0,376,164.83
"UTTAR PRADESH","MAU",3,0,7,7.85,0,0,0,0,0,0,0,0,113,0,123,7.85
"UTTAR PRADESH","MEERUT",0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0
"UTTAR PRADESH","MIRZAPUR",568,1213.12,7761,19251.24,643,1646.61,6968,17325.31,14,48.85,112,310.1,1548,725.58,17614,40520.81
"UTTAR PRADESH","MUZZAFARNAGAR",0,0,168,459.89,0,0,0,0,0,0,0,0,56,0,224,459.89
"UTTAR PRADESH","PRATAPGARH",1,20,136,221.3,0,0,0,0,0,0,0,0,19,0,156,241.3
"UTTAR PRADESH","RAEBARELI",10,5.75,1303,824.03,7,5.55,4,3.31,0,0,0,0,3643,0,4967,838.64
"UTTAR PRADESH","SANT KABIR NAGAR",1,3,291,1209.8,6,121.55,5,30.55,0,0,0,0,5,3.25,308,1368.15
"UTTAR PRADESH","SANT RAVI DAS NAGAR",22,110.66,14,27.75,2,4,0,0,0,0,0,0,24,0,62,142.41
"UTTAR PRADESH","SIDDHARTH NAGAR",1,14,307,1197.7,0,0,12,155.18,0,0,0,0,101,0,421,1366.88
"UTTAR PRADESH","SONBHADRA",463,886.1,5279,14226.2,371,931.85,2779,9743.87,36,169.3,253,827.7,329,348.16,9510,27133.18
"UTTAR PRADESH","SULTANPUR",6,5.65,118,255.72,4,9,21,49.74,0,0,0,0,592,0,741,320.11
"UTTAR PRADESH","UNNAO",0,0,6,9,1,1,0,0,0,0,0,0,213,0,220,10
"UTTAR PRADESH","VARANASI",16,88.54,66,177.76,8,79.31,12,22.71,0,0,0,0,7,0,109,368.32
"UTTARAKHAND","CHAMOLI",0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5
"UTTARAKHAND","CHAMPAWAT",1,80,0,0,0,0,0,0,0,0,0,0,0,0,1,80
"UTTARAKHAND","DEHRA DUN",9,56,1,0,0,0,0,0,0,0,0,0,0,0,10,56
"UTTARAKHAND","HARIDWAR",0,0,1,184,0,0,0,0,0,0,0,0,0,0,1,184
"UTTARAKHAND","NAINITAL",28,747,6,97.2,0,0,0,0,0,0,0,0,2,4,36,848.2
"UTTARAKHAND","PAURI",0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0
"UTTARAKHAND","UDHAM SINGH NAGAR",28,517.16,569,6310.93,5,22,0,0,0,0,0,0,1,0,603,6850.09
"WEST BENGAL","BANKURA",4,9.72,1181,898.15,1,0.8,10,2.93,0,0,0,0,169,3.32,1365,914.92
"WEST BENGAL","BARDDHAMAN",1,11.58,49,348.29,1,35,0,0,0,0,0,0,12,55.26,63,450.13
"WEST BENGAL","BIRBHUM",0,0,106,276.52,0,0,3,11,0,0,0,0,58,0,167,287.52
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,25,46.81,0,0,5,36.3,1,0.6,0,0,0,0,31,83.71
"WEST BENGAL","DARJEELING",0,0,185,566.87,0,0,7,29.78,0,0,0,0,37,0,229,596.65
"WEST BENGAL","HAORA",0,0,0,0,1,26,0,0,0,0,0,0,0,0,1,26
"WEST BENGAL","JALPAIGURI",32,79.76,2379,5836.06,6,11.82,505,1885.82,5,13,36,1299.98,330,50.58,3293,9177.02
"WEST BENGAL","KOCH BEHAR",100,57.53,789,879.35,1,19.8,20,42.35,0,0,0,0,188,1.54,1098,1000.57
"WEST BENGAL","MALDA",2,2,42,158.8,3,161,5,16,0,0,0,0,8,31,60,368.8
"WEST BENGAL","MURSHIDABAD",0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,6
"WEST BENGAL","NADIA",1,50,13,58.1,7,80.2,0,0,0,0,0,0,2,0.79,23,189.09
"WEST BENGAL","NORTH 24 PARGANAS",2,37.2,27,200.14,1,30,0,0,0,0,0,0,3,4.8,33,272.14
"WEST BENGAL","PASHCHIM MIDNAPORE",15,131.4,2193,3981.49,4,21.96,152,490.3,1,4.5,0,0,46,5,2411,4634.65
"WEST BENGAL","PURBA MIDNAPORE",0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
"WEST BENGAL","PURULIA",34,15.19,3356,1305.83,2,0.97,2,0.88,0,0,0,0,217,4.45,3611,1327.32
"WEST BENGAL","UTTAR DINAJPUR",1,6,64,286.9,1,6,2,8,0,0,0,0,11,2.55,79,309.45
