State,District,ADM2_CODE
BIHAR,GODDA,70147
BIHAR,GONDA,70147
BIHAR,GOPAALGANJ,17604
BIHAR,GOPALGANJ,17604
BIHAR,GUMLA,17622
BIHAR,HAZARIBAG,70146
BIHAR,HAZARIBAGH,70146
BIHAR,JAHANABAD,17594
BIHAR,JAMUI,70101
BIHAR,JEHANABAD,17594
BIHAR,KAIMUR (BHABUA),17623
BIHAR,KATIHAR,17621
BIHAR,KHAGARIA,70101
BIHAR,KISHANGANJ,17621
BIHAR,KODARMA,70146
BIHAR,LAKHISARAI,70101
BIHAR,LOHARDAGA,17622
BIHAR,MADHEPURA,70101
BIHAR,MADHUBANI,17598
BIHAR,MUNGER,70101
BIHAR,MUZAFFARPUR,17620
BIHAR,NALANDA,17619
BIHAR,NAWADA,17594
BIHAR,NAWADAH,17594
BIHAR,PAKUR,70147
BIHAR,PALAMU,70151
BIHAR,PALMAU,70151
BIHAR,PATNA,17619
BIHAR,PURNEA,17621
BIHAR,PURNIA,17621
BIHAR,RANCHI,17622
BIHAR,ROHTAS,17623
BIHAR,ROHTAS(SASARAM),17623
BIHAR,SAHARSA,70101
BIHAR,SAHEBGANJ,70147
BIHAR,SAMASTIPUR,17598
BIHAR,SAMISTIPUR,17598
BIHAR,SARAN,17604
BIHAR,SHEIKHPURA,70101
BIHAR,SHEKHPURA,70101
BIHAR,SHEOHAR,17620
BIHAR,SINGHBHUM EAST,70152
BIHAR,SINGHBHUM WEST,70152
BIHAR,SITAMARHI,17620
BIHAR,SIWAN,17604
BIHAR,SUPAUL,70101
BIHAR,TOTAL,NA
BIHAR,VAISHALI,17620
BIHAR,WEST CHAMPARAN,17620
BIHAR,WEST SINGHBHUM,70152
GOA,CHECK,NA
GOA,NORTH GOA,70122
GOA,SOUTH GOA,70122
GOA,TOTAL,70122
GUJARAT,,NA
GUJARAT,AHMEDABAD,17635
GUJARAT,AMRELI,17636
GUJARAT,ANAND,70124
GUJARAT,BANASKANTHA,17637
GUJARAT,BANSKANTHA,17637
GUJARAT,BARUCH,17638
GUJARAT,BHARUCH,17638
GUJARAT,BHAVNAGAR,17636
GUJARAT,CHECK,NA
GUJARAT,DAHOD,70128
GUJARAT,DANG,17651
GUJARAT,GANDHINAGAR,17635
GUJARAT,JAMNAGAR,17641
GUJARAT,JUNAGADH,17642
GUJARAT,KACHCHH,17643
GUJARAT,KHEDA,70124
GUJARAT,KUCHCHH,17643
GUJARAT,MEHSANA,17635
GUJARAT,NARMADA,17638
GUJARAT,NAVSARI,17649
GUJARAT,PANCHMAHAL,70128
GUJARAT,PATAN,17635
GUJARAT,PORBANDAR,17642
GUJARAT,RAJKOT,17636
GUJARAT,SABARKANTHA,17648
GUJARAT,SURAT,17649
GUJARAT,SURENDRANAGAR,17650
GUJARAT,TOTAL,NA
GUJARAT,VADODARA,17652
GUJARAT,VALSAD,17649
HARYANA,AMBALA,17654
HARYANA,BHIWANI,17657
HARYANA,CHECK,NA
HARYANA,FARIDABAD,17657
HARYANA,FATEHABAD,17657
HARYANA,GURGAON,17657
HARYANA,HISAR,17657
HARYANA,HISSAR,17657
HARYANA,JHAJJAR,17665
HARYANA,JIND,17654
HARYANA,KAITHAL,17654
HARYANA,KARNAL,17654
HARYANA,KURUKSHETRA,17654
HARYANA,M/GARH,17657
HARYANA,MAHENDRAGARH,17657
HARYANA,MEHANDERGARH,17657
HARYANA,MEWAT,17657
HARYANA,PANCHKULA,17654
HARYANA,PANIPAT,17654
HARYANA,REWARI,17657
HARYANA,RIWARI,17657
HARYANA,ROHTAK,17665
HARYANA,SIRSA,17657
HARYANA,SONEPAT,17665
HARYANA,SONIPAT,17665
HARYANA,SONIPUT,17665
HARYANA,TOTAL,NA
HARYANA,YAMUNA NAGAR,17654
HARYANA,YAMUNANAGAR,17654
HIMACHAL PRADESH,BALASPUR,17666
HIMACHAL PRADESH,Bilaspur,17666
HIMACHAL PRADESH,Chamba,17666
HIMACHAL PRADESH,CHAMBA,17666
HIMACHAL PRADESH,CHECK,NA
HIMACHAL PRADESH,Hamirpur,17666
HIMACHAL PRADESH,HAMIRPUR,17666
HIMACHAL PRADESH,Kangra,17666
HIMACHAL PRADESH,KANGRA,17666
HIMACHAL PRADESH,Kinnaur,17666
HIMACHAL PRADESH,KINNAUR,17666
HIMACHAL PRADESH,Kullu,17666
HIMACHAL PRADESH,KULU,17666
HIMACHAL PRADESH,Lahul & Spiti,17666
HIMACHAL PRADESH,LAHUL SPITI,17666
HIMACHAL PRADESH,Mandi,17666
HIMACHAL PRADESH,MANDI,17666
HIMACHAL PRADESH,Shimla,17666
HIMACHAL PRADESH,SHIMLA,17666
HIMACHAL PRADESH,Sirmaur,17666
HIMACHAL PRADESH,SIRMAUR,17666
HIMACHAL PRADESH,Solan,17666
HIMACHAL PRADESH,SOLAN,17666
HIMACHAL PRADESH,TOTAL,NA
HIMACHAL PRADESH,Una,17666
HIMACHAL PRADESH,UNA,17666
JAMMU & KASHMIR,ANANTMAG,NA
JAMMU & KASHMIR,ANANTNAG,NA
JAMMU & KASHMIR,Anantnagh,NA
JAMMU & KASHMIR,BADGAM,NA
JAMMU & KASHMIR,Baramulla,NA
JAMMU & KASHMIR,BARAMULLA,NA
JAMMU & KASHMIR,Budgam,NA
JAMMU & KASHMIR,BUDGAM,NA
JAMMU & KASHMIR,CHECK,NA
JAMMU & KASHMIR,Doda,NA
JAMMU & KASHMIR,DODA,NA
JAMMU & KASHMIR,Jammu,NA
JAMMU & KASHMIR,JAMMU,NA
JAMMU & KASHMIR,Kargil,NA
JAMMU & KASHMIR,KARGIL,NA
JAMMU & KASHMIR,Kathua,NA
JAMMU & KASHMIR,KATHUA,NA
JAMMU & KASHMIR,Kupwara,NA
JAMMU & KASHMIR,KUPWARA,NA
JAMMU & KASHMIR,Leh,NA
JAMMU & KASHMIR,LEH,NA
JAMMU & KASHMIR,PFILWAMA,NA
JAMMU & KASHMIR,Poonch,NA
JAMMU & KASHMIR,POONCH,NA
JAMMU & KASHMIR,Pulwama,NA
JAMMU & KASHMIR,PULWAMA,NA
JAMMU & KASHMIR,Rajouri,NA
JAMMU & KASHMIR,RAJOURI,NA
JAMMU & KASHMIR,Srinagar,NA
JAMMU & KASHMIR,SRINAGAR,NA
JAMMU & KASHMIR,TOTAL,NA
JAMMU & KASHMIR,Udhampur,NA
JAMMU & KASHMIR,UDHAMPUR,NA
KARNATAKA,Bagalkote,17682
KARNATAKA,Bangalore,70158
KARNATAKA,BANGALORE (R),70158
KARNATAKA,BANGALORE (U),70158
KARNATAKA,Bangalore Rural,70158
KARNATAKA,BANGALORE RURAL,70158
KARNATAKA,BANGALORE URBAN,70158
KARNATAKA,Belgaum,17679
KARNATAKA,BELGAUM,17679
KARNATAKA,Bellary,17694
KARNATAKA,BELLARY,17694
KARNATAKA,Bidar,17681
KARNATAKA,BIDAR,17681
KARNATAKA,Bijapur,17682
KARNATAKA,BIJAPUR,17682
KARNATAKA,Chamaraja Nagara,70160
KARNATAKA,CHECK,NA
KARNATAKA,CHICKMAGALUR,17683
KARNATAKA,CHIKKAMAGALORE,17683
KARNATAKA,Chikmagalur,17683
KARNATAKA,Chitradurga,17694
KARNATAKA,CHITRADURGA,17694
KARNATAKA,D. KANNADA,17685
KARNATAKA,Dakshina Kannada,17685
KARNATAKA,DAKSHINA KANNADA,17685
KARNATAKA,Davanagere,17694
KARNATAKA,DHARWAD,17686
KARNATAKA,Dharwar,17686
KARNATAKA,DHARWAR,17686
KARNATAKA,Gadag,17686
KARNATAKA,Gulbarga,17681
KARNATAKA,GULBARGA,17681
KARNATAKA,Hassan,17688
KARNATAKA,HASSAN,17688
KARNATAKA,Haveri,17686
KARNATAKA,Kodagu,17689
KARNATAKA,KODAGU,17689
KARNATAKA,Kolar,17690
KARNATAKA,KOLAR,17690
KARNATAKA,Koppal,17693
KARNATAKA,Mandya,17691
KARNATAKA,MANDYA,17691
KARNATAKA,Mysore,70160
KARNATAKA,MYSORE,70160
KARNATAKA,Raichur,17693
KARNATAKA,RAICHUR,17693
KARNATAKA,Shimoga,17694
KARNATAKA,SHIMOGA,17694
KARNATAKA,TOTAL,NA
KARNATAKA,Tumkur,17695
KARNATAKA,TUMKUR,17695
KARNATAKA,U. KANNADA,17696
KARNATAKA,Udupi,17685
KARNATAKA,Uttara Kannada,17696
KARNATAKA,UTTARA KANNADA,17696
KERALA,ALAPPUZHA,17706
KERALA,ALAPUZHA,17706
KERALA,ERANAKULAM,17702
KERALA,IDDUKKI,17702
KERALA,IDUKKI,17702
KERALA,KANNUR,17701
KERALA,KASARAGODE,17701
KERALA,KOLLAM,17706
KERALA,KOTTAYAM,17702
KERALA,KOZHIKODE,17701
KERALA,MALAPPURAM,17701
KERALA,PALAKKAD,17701
KERALA,PATHANAMTHITTA,17706
KERALA,THIRUVANANTHAPURAM,17709
KERALA,THRISSUR,17701
KERALA,WAYANAD,17701
MADHYA PRADESH,ANUPPUR,17748
MADHYA PRADESH,Ashok Nagar,17726
MADHYA PRADESH,BAITUL,17714
MADHYA PRADESH,BALAGHAT,17712
MADHYA PRADESH,BARWANI,17756
MADHYA PRADESH,BASTAR,70105
MADHYA PRADESH,BASTER,70105
MADHYA PRADESH,BETUL,17714
MADHYA PRADESH,BHIND,17715
MADHYA PRADESH,BHOPAL,17746
MADHYA PRADESH,BILASPUR,70297
MADHYA PRADESH,BURHANPUR,17725
MADHYA PRADESH,CHATTURPUR,17718
MADHYA PRADESH,CHECK,NA
MADHYA PRADESH,CHHATARPUR,17718
MADHYA PRADESH,CHHINDWARA,17719
MADHYA PRADESH,DAMOH,17720
MADHYA PRADESH,DATIA,17727
MADHYA PRADESH,DEVAS,17722
MADHYA PRADESH,DEWAS,17722
MADHYA PRADESH,DHAR,17723
MADHYA PRADESH,DINDORI,17732
MADHYA PRADESH,DURG,70297
MADHYA PRADESH,GUNA,17726
MADHYA PRADESH,GWALIOR,17727
MADHYA PRADESH,HARDA,17728
MADHYA PRADESH,HOSHANGABAD,17728
MADHYA PRADESH,INDORE,17729
MADHYA PRADESH,JABALPUR,17730
MADHYA PRADESH,JHABUA,17731
MADHYA PRADESH,KATNI,17730
MADHYA PRADESH,KHANDBA,17725
MADHYA PRADESH,KHANDWA,17725
MADHYA PRADESH,KHARGON,17756
MADHYA PRADESH,KHARGONE,17756
MADHYA PRADESH,MANDLA,17732
MADHYA PRADESH,MANDSAUR,17733
MADHYA PRADESH,MORENA,17734
MADHYA PRADESH,NARSIMHAPUR,17735
MADHYA PRADESH,NARSINGHPUR,17735
MADHYA PRADESH,NEEMUCH,17733
MADHYA PRADESH,PANNA,17736
MADHYA PRADESH,RAIGARH,17741
MADHYA PRADESH,RAIPUR,70116
MADHYA PRADESH,RAISEN,17739
MADHYA PRADESH,RAJGARH,17741
MADHYA PRADESH,RAJNADGAON,70297
MADHYA PRADESH,RAJNANDGAON,70297
MADHYA PRADESH,RATLAM,17742
MADHYA PRADESH,REVA,17743
MADHYA PRADESH,REWA,17743
MADHYA PRADESH,SAGAR,17744
MADHYA PRADESH,SARGUJA,70118
MADHYA PRADESH,SATNA,17743
MADHYA PRADESH,SEEDHI,17751
MADHYA PRADESH,SEHOR,17746
MADHYA PRADESH,SEHORE,17746
MADHYA PRADESH,SEONI,17747
MADHYA PRADESH,SHAHDOH,17748
MADHYA PRADESH,SHAHDOL,17748
MADHYA PRADESH,SHAJAPUR,17749
MADHYA PRADESH,SHEOPUR,17734
MADHYA PRADESH,SHIVPURI,17750
MADHYA PRADESH,SIDHI,17751
MADHYA PRADESH,SIVNI,17751
MADHYA PRADESH,SURGUJA,70118
MADHYA PRADESH,TEEKAMGARH,17753
MADHYA PRADESH,TIKAMGARH,17753
MADHYA PRADESH,TOTAL,NA
MADHYA PRADESH,UJJAIN,17754
MADHYA PRADESH,UMARIA,17748
MADHYA PRADESH,VEDESHA,17755
MADHYA PRADESH,VIDISHA,17755
MAHARASHTRA,,NA
MAHARASHTRA,AHMEDNAGAR,70178
MAHARASHTRA,AKOLA,17758
MAHARASHTRA,AMRAVATI,17759
MAHARASHTRA,AURANGABAD,17786
MAHARASHTRA,BANDHARA,70180
MAHARASHTRA,BEED,70178
MAHARASHTRA,BHANDARA,70180
MAHARASHTRA,BULDANA,17762
MAHARASHTRA,BULDHANA,17762
MAHARASHTRA,CHANDRAPUR,17763
MAHARASHTRA,CHECK,NA
MAHARASHTRA,DHULE,17764
MAHARASHTRA,GADCHIROLI,17763
MAHARASHTRA,GONDIYA,70180
MAHARASHTRA,HINGOLI,17786
MAHARASHTRA,JALGAON,17767
MAHARASHTRA,JALNA,17786
MAHARASHTRA,KOLHAPUR,17769
MAHARASHTRA,LATUR,70178
MAHARASHTRA,NAGPUR,17771
MAHARASHTRA,NANDED,17772
MAHARASHTRA,NANDURBAR,17764
MAHARASHTRA,NASHIK,70724
MAHARASHTRA,NASIK,70724
MAHARASHTRA,OSMANABAD,70178
MAHARASHTRA,PARBHANI,17786
MAHARASHTRA,PUNE,17776
MAHARASHTRA,RAIGAD,17777
MAHARASHTRA,RAIGHAR,17777
MAHARASHTRA,RATNAGIRI,17769
MAHARASHTRA,SANGLI,17780
MAHARASHTRA,SATARA,17781
MAHARASHTRA,SINDHUDURG,17769
MAHARASHTRA,SINDHUDURGA,17769
MAHARASHTRA,SOLAPUR,17782
MAHARASHTRA,THANE,17783
MAHARASHTRA,TOTAL,NA
MAHARASHTRA,WARDHA,17784
MAHARASHTRA,WASHIM,17758
MAHARASHTRA,YAVATMAL,17785
MANIPUR,BISHENPUR,70195
MANIPUR,BISHNUPUR,70195
MANIPUR,CHANDEL,70195
MANIPUR,CHECK,NA
MANIPUR,CHENDAL,70195
MANIPUR,CHURACHANDPUR,70195
MANIPUR,IMPHAL,70195
MANIPUR,IMPHAL EAST,70195
MANIPUR,IMPHAL WEST,70195
MANIPUR,SENAPATI,70195
MANIPUR,TAMENGLONG,70195
MANIPUR,TAMENLONG,70195
MANIPUR,THOUBAL,70195
MANIPUR,TOTAL,NA
MANIPUR,UKHRUL,70195
MEGHALAYA,CHECK,NA
MEGHALAYA,EAST GARO HILLS,17793
MEGHALAYA,EAST KHASI HILLS,17793
MEGHALAYA,JAINTIA HILLS,17793
MEGHALAYA,RI BHOI DISTRICT,17793
MEGHALAYA,SOUTH GARO HILLS,17793
MEGHALAYA,TOTAL,NA
MEGHALAYA,WEST GARO HILLS,17793
MEGHALAYA,WEST KHASI HILLS,17793
MIZORAM,AIZAWL,17798
MIZORAM,CHHIMTUIPUI,17798
MIZORAM,LUNGLEI,17798
NAGALAND,CHECK,NA
NAGALAND,DIMAPUR,17805
NAGALAND,KOHIMA,17805
NAGALAND,LUNHELEOTO,17805
NAGALAND,MOKO CHUNG,17805
NAGALAND,MOKOKCHUNG,17805
NAGALAND,MON,17805
NAGALAND,PHEK,17805
NAGALAND,THENSAN,17805
NAGALAND,TOTAL,NA
NAGALAND,TUENSANG,17805
NAGALAND,WOKHA,17805
NAGALAND,ZUNHEBOTO,17805
ORISSA,ANGUL,17810
ORISSA,BALASORE,70207
ORISSA,BARAGARH,17819
ORISSA,BARGARH,17819
ORISSA,BHADRAK,70207
ORISSA,BOLANGIR,70210
ORISSA,BOUDH,70211
ORISSA,CHECK,NA
ORISSA,CUTTACK,17809
ORISSA,DEOGARH,17819
ORISSA,DHENKANAL,17810
ORISSA,GAAJAM,17811
ORISSA,GAJAPATI,17811
ORISSA,GANJAM,17811
ORISSA,JAGATSINGHPUR,17809
ORISSA,JAJAPUR,17809
ORISSA,JAJPUR,17809
ORISSA,JHARSUGUDA,17819
ORISSA,KALAHANDI,17812
ORISSA,KANDHAMAL,70211
ORISSA,KENDRAPARA,17809
ORISSA,KEONJHAR,17813
ORISSA,KEONJIHAR,17813
ORISSA,KHURDA,17818
ORISSA,KORAPUT,17812
ORISSA,MALKANAGIRI,17812
ORISSA,MALKANGIRI,17812
ORISSA,MAYURBHANJ,17816
ORISSA,MAYURBHANJA,17816
ORISSA,MAYYUBHANJ,17816
ORISSA,NAWARANGAPUR,17812
ORISSA,NAYAGARH,17818
ORISSA,NOWRANGPUR,17812
ORISSA,NUAPADA,17812
ORISSA,PHULBANI,70211
ORISSA,PURI,17818
ORISSA,RAYAGADA,17812
ORISSA,SAMBALPUR,17819
ORISSA,SONEPUR,70210
ORISSA,SUNDARGARH,17820
ORISSA,TOTAL,NA
PUNJAB,AMRITSAR,17821
PUNJAB,AMRITSER,17821
PUNJAB,BARNALA,17833
PUNJAB,BATHINDA,17833
PUNJAB,CHECK,NA
PUNJAB,FARDKOT,17833
PUNJAB,FARIDKOT,17833
PUNJAB,FATEHGARH SAHIB,17833
PUNJAB,FEROZEPUR,17825
PUNJAB,FEROZIPUR,17825
PUNJAB,GURDASPUR,17821
PUNJAB,HOSHIARPUR,17833
PUNJAB,JALANDHAR,17833
PUNJAB,KAPURTHALA,17833
PUNJAB,LUDHIANA,17833
PUNJAB,MANSA,17833
PUNJAB,MOGA,17825
PUNJAB,MOHALI,17833
PUNJAB,MUKATSAR,17825
PUNJAB,NAWANSHAHAR,17833
PUNJAB,PATIALA,17833
PUNJAB,ROPAR,17833
PUNJAB,SANGRUR,17833
PUNJAB,TARN TARAN,17821
PUNJAB,TOTAL,NA
RAJASTHAN,AJMER,17847
RAJASTHAN,ALWAR,17835
RAJASTHAN,BANSWARA,17836
RAJASTHAN,BARAN,17853
RAJASTHAN,BARMER,17837
RAJASTHAN,BHARATPUR,17838
RAJASTHAN,BHILWARA,17839
RAJASTHAN,BIKANER,17840
RAJASTHAN,BUNDI,17841
RAJASTHAN,CHITTORGARH,17842
RAJASTHAN,CHURU,17843
RAJASTHAN,DAUSA,17847
RAJASTHAN,DHOLPUR,17838
RAJASTHAN,DUNGARPUR,17845
RAJASTHAN,GANGANAGAR,17846
RAJASTHAN,HANUMANGARH,17846
RAJASTHAN,JAIPUR,17847
RAJASTHAN,JAISALMER,17848
RAJASTHAN,JALORE,17849
RAJASTHAN,JHALAWAR,17850
RAJASTHAN,JHUNJHNU,17851
RAJASTHAN,JHUNJHUNU,17851
RAJASTHAN,JODHPUR,17852
RAJASTHAN,KAROLI,17847
RAJASTHAN,KOTA,17853
RAJASTHAN,NAGAUR,17854
RAJASTHAN,PALI,17855
RAJASTHAN,RAJSAMAND,17860
RAJASTHAN,SAWAI MADHOPUR,17847
RAJASTHAN,SAWAI-MADHOPUR,17847
RAJASTHAN,SIKAR,17857
RAJASTHAN,SIROHI,17858
RAJASTHAN,TONK,17847
RAJASTHAN,UDAIPUR,17860
SIKKIM,EAST SIKKIM,17864
SIKKIM,NORTH SIKKIM,17864
SIKKIM,SOUTH SIKKIM,17864
SIKKIM,WEST SIKKIM,17864
TAMIL NADU,ANNA,70246
TAMIL NADU,CHECK,NA
TAMIL NADU,CHENGLEPUT,70244
TAMIL NADU,COIMBATORE,17881
TAMIL NADU,CUDDALORE,70255
TAMIL NADU,DHARMAPURI,17879
TAMIL NADU,DINDIGUL,70246
TAMIL NADU,ERODE,17881
TAMIL NADU,KAMRAJAR,17878
TAMIL NADU,KANCHEEPURAM,70244
TAMIL NADU,KANCHIPURAM,70244
TAMIL NADU,KANNIYAKUMARI,17870
TAMIL NADU,KANNYAKUMARI,17870
TAMIL NADU,KANYAKUMARI,17870
TAMIL NADU,KARUR,17881
TAMIL NADU,KRISHNAGIRI,17879
TAMIL NADU,MADRAS,70242
TAMIL NADU,MADURAI,70246
TAMIL NADU,NAGAPATTINAM,17881
TAMIL NADU,NAMAKKAL,17879
TAMIL NADU,NILGIRIS,17873
TAMIL NADU,NORTH ARCOT,70253
TAMIL NADU,P. MUTHURAMALINGAM,17878
TAMIL NADU,PERAMBALUR,17881
TAMIL NADU,PERIYAR,17881
TAMIL NADU,PUDUKKOTTAI,17881
TAMIL NADU,PUDUKOTTAI,17881
TAMIL NADU,RAMANATHAPURAM,17878
TAMIL NADU,RAMNATHAPURAM,17878
TAMIL NADU,SALEM,17879
TAMIL NADU,SIVAGANGA,17878
TAMIL NADU,SOUTH ARCOT,70255
TAMIL NADU,THANJAVUR,17881
TAMIL NADU,THE NILGIRIS,17873
TAMIL NADU,THENI,70246
TAMIL NADU,THIRUVALLUR,70244
TAMIL NADU,THIRUVARUR,17881
TAMIL NADU,THOOTHUGUDI,17884
TAMIL NADU,TIRINELVELI,17884
TAMIL NADU,TIRUCHIRAPELLI,17881
TAMIL NADU,TIRUCHIRAPPALLI,17881
TAMIL NADU,TIRUNELVELI,17884
TAMIL NADU,TIRUVALLUR,70244
TAMIL NADU,TIRUVANNAMALAI,70253
TAMIL NADU,TIRUVARUR,17881
TAMIL NADU,TOTAL,NA
TAMIL NADU,TRICHIRAPPALLI,17881
TAMIL NADU,TUTICORIN DISTRICT,17884
TAMIL NADU,V.O. CHIDAMBARANAR,70255
TAMIL NADU,VELLORE,70253
TAMIL NADU,VILLUPPURAM,70255
TAMIL NADU,VILLUPURAM,70255
TAMIL NADU,VIRUDHUNAGAR,17878
TRIPURA,CHECK,NA
TRIPURA,DHALAI,17885
TRIPURA,NORTH,17885
TRIPURA,NORTH TRIPURA,17885
TRIPURA,SOUTH,17885
TRIPURA,SOUTH TRIPURA,17885
TRIPURA,TOTAL,NA
TRIPURA,WEST,17885
TRIPURA,WEST TRIPURA,17885
UTTAR PRADESH,AGRA,17888
UTTAR PRADESH,ALIGARH,17889
UTTAR PRADESH,ALLAHABAD,17890
UTTAR PRADESH,ALMORA,70280
UTTAR PRADESH,AMBEDAKAR NAGAR,17907
UTTAR PRADESH,AMBEDKAR NAGAR,17907
UTTAR PRADESH,AURAIYA,17906
UTTAR PRADESH,AZAMGARH,17892
UTTAR PRADESH,BADAUN,70259
UTTAR PRADESH,BAGHPAT,17926
UTTAR PRADESH,BAHARAICH,17893
UTTAR PRADESH,BAHRAICH,17893
UTTAR PRADESH,BALLIA,17892
UTTAR PRADESH,BALRAMPUR,17913
UTTAR PRADESH,BANDA,17895
UTTAR PRADESH,BARABANKI,17896
UTTAR PRADESH,BAREILLY,17897
UTTAR PRADESH,BASTI,17898
UTTAR PRADESH,BIJNOR,17936
UTTAR PRADESH,BUDAUN,70259
UTTAR PRADESH,BULAND SAHAR,17901
UTTAR PRADESH,BULANDSHAHER,17901
UTTAR PRADESH,BULANDSHAHR,17901
UTTAR PRADESH,CHAMOLI,17910
UTTAR PRADESH,CHAMOLI(GOPESHWAR),17910
UTTAR PRADESH,CHANDAULI,17943
UTTAR PRADESH,CHECK,NA
UTTAR PRADESH,CHITRAKOOT,17895
UTTAR PRADESH,DEHRADUN,17903
UTTAR PRADESH,DEORIA,17904
UTTAR PRADESH,ETAH,17905
UTTAR PRADESH,ETAWAH,17906
UTTAR PRADESH,FAIZABAD,17907
UTTAR PRADESH,FARRUKHABAD,17908
UTTAR PRADESH,FARUKHABAD,17908
UTTAR PRADESH,FATEHPUR,17909
UTTAR PRADESH,FIROZABAD,17888
UTTAR PRADESH,GAUTAM BUDHA NAGAR,17901
UTTAR PRADESH,GHAZIABAD,17926
UTTAR PRADESH,GHAZIPUR,17912
UTTAR PRADESH,GONDA,17913
UTTAR PRADESH,GORAKHPUR,17914
UTTAR PRADESH,HAMIRPUR,17915
UTTAR PRADESH,HARDOI,17916
UTTAR PRADESH,HARDWAR,17936
UTTAR PRADESH,HATHRAS,17889
UTTAR PRADESH,JALAUN,17917
UTTAR PRADESH,JAUNPUR,17918
