"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"CHHATISGARH","DURG",1659,2762.87,10030,21317.33,413,1407.45,2693,10470.34,53,347.35,1726,6849.05,526,934.01,17100,44088.4
"CHHATISGARH","JANJGIR-CHAMPA",989,374.56,8250,16967.02,86,260.19,198,580.28,0,0,6,1.19,72,140.66,9601,18323.9
"CHHATISGARH","JASHPUR",84,1580.42,10,103.65,0,0,0,0,0,0,0,0,0,0,94,1684.07
"CHHATISGARH","KANKER",51,101.53,890,1663.65,35,191.25,195,441.06,0,0,2,2.44,24,59.72,1197,2459.65
"CHHATISGARH","KAWARDHA",420,1012.47,516,1852.71,162,690.09,671,2311.64,6,0.4,1777,7316.93,108,714.13,3660,13898.37
"CHHATISGARH","KORBA",8,51.75,151,477.12,3,6.05,45,69.48,0,0,0,0,3,3.43,210,607.83
"CHHATISGARH","KORIA",0,0,75,365.58,0,0,8,22.98,0,0,0,0,2,3.55,85,392.11
"CHHATISGARH","MAHASAMUND",807,2347.48,3078,7101.67,116,290.5,189,506.93,10,26.53,31,88.86,107,263.27,4338,10625.24
"CHHATISGARH","NARAYANPUR",26,151.88,388,1138.59,0,0,3,6.41,0,0,0,0,0,0,417,1296.88
"CHHATISGARH","RAIGARH",9582,1388.85,8652,9912.42,246,644.77,399,1156.08,5,0.8,1,3.04,14,13.36,18899,13119.32
"CHHATISGARH","RAIPUR",2413,2627.89,4580,11564.42,278,752.5,1563,4294.38,57,412.74,110,372.15,342,827.17,9343,20851.25
"CHHATISGARH","RAJNANDGAON",216,725.73,848,2542.11,117,257.83,883,3012.84,16,94.91,115,345.68,43,132.89,2238,7111.99
"CHHATISGARH","SURGUJA",36,7.2,892,364.78,1,0.4,10,12.91,3,1,0,0,1,8.1,943,394.39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",21,85.32,18,14.86,3,41.46,41,192.69,0,0,0,0,0,0,83,334.33
"DELHI","ALIPUR",152,528.55,4147,21253.11,113,400.4,0,0,1,3,0,0,4,0,4417,22185.06
"DELHI","MAHRAULI",39,100.95,0,0,7,19.47,0,0,0,0,0,0,0,0,46,120.42
"DELHI","NAJAFGARH",34,89.9,2580,8562.91,250,477.47,512,1622.72,0,0,4,2.18,39,0.6,3419,10755.78
"DELHI","NANGLOI",99,306.86,208,1176.04,0,0,73,177.04,0,0,0,0,1,0,381,1659.94
"DELHI","SHADARA-NORTHEAST",6,79,38,631,1,16,9,156,0,0,0,0,0,0,54,882
"DELHI","SHAHDARA-EAST",76,3540,176,9642,0,0,24,1266,0,0,0,0,1,0,277,14448
"GOA","NORTH GOA",4,8.56,8,7.55,0,0,6,6.14,0,0,11,20.18,6,0.2,35,42.63
"GOA","SOUTH GOA",3,2.78,5,3.6,1,1,37,46.72,0,0,2,10,22,2.3,70,66.4
"GUJARAT","AHMEDABAD",1,0,393,1542.11,75,120.8,124,219.5,1,0,0,0,2,0,596,1882.41
"GUJARAT","AMRELI",27,78.68,3872,15595.69,59,223,9,29.48,2,15.35,0,0,1,0,3970,15942.2
"GUJARAT","ANAND",136,1230,12,98,4087,38892,49,452,11,98,11,99,50,10,4356,40879
"GUJARAT","BANASKANTHA",112,370.06,2171,10186.49,2286,6635.29,120,523.82,0,0,3,0,13,0,4705,17715.66
"GUJARAT","BHARUCH",90,376.4,919,2827.33,727,2415.1,2207,6801.39,76,345.16,0,0,0,0,4019,12765.38
"GUJARAT","BHAVNAGAR",6,11.13,795,1775.24,0,0,3,4.64,0,0,0,0,0,0,804,1791.01
"GUJARAT","DAHOD",0,0,93,242.57,0,0,35,85.3,1,0,0,0,0,0,129,327.87
"GUJARAT","DANG",0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7
"GUJARAT","GANDHINAGAR",0,0,0,0,1,13,662,6481.17,0,0,0,0,0,0,663,6494.17
"GUJARAT","JAMNAGAR",8,12.64,38,143.23,6,28.14,0,0,0,0,0,0,0,0,52,184.01
"GUJARAT","JUNAGADH",43,5.06,4022,2246.77,8,2,0,0,0,0,2,0,3,0,4078,2253.83
"GUJARAT","KACHCHH",2018,8182.21,3738,14586.29,399,1129.46,29,63.67,35,37.13,3,0,200,0,6422,23998.76
"GUJARAT","KHEDA",23,62.39,3993,17055.83,1514,14009.78,655,2094.38,2,18.33,17,0,6,18.34,6210,33259.05
"GUJARAT","MEHSANA",0,0,1,0,216,1596.82,0,0,0,0,0,0,0,0,217,1596.82
"GUJARAT","NARMADA",0,0,101,524.92,67,355.22,32,152.77,0,0,0,0,0,0,200,1032.91
"GUJARAT","NAVSARI",13,18.09,4790,22554.75,767,1548.04,1215,1256.62,4,19.77,0,0,34,13.01,6823,25410.28
"GUJARAT","PANCHMAHAL",9,26.64,1266,2654.81,127,331.1,55,135.1,0,0,0,0,0,0,1457,3147.65
"GUJARAT","PATAN",0,0,0,0,29,383.93,208,1129.81,0,0,0,0,0,0,237,1513.74
"GUJARAT","PORBANDAR",3,5.17,1187,3762.49,0,0,9,20.75,0,0,0,0,0,0,1199,3788.41
"GUJARAT","RAJKOT",125,177.63,6013,20857.93,362,1469.61,30,135.22,17,39.57,1,0,12,38.22,6560,22718.18
"GUJARAT","SABARKANTHA",1945,4466.61,8685,23024.14,2755,8771.8,824,2406,2,7.81,94,234.23,378,805.76,14683,39716.35
"GUJARAT","SURAT",4600,7864.99,246,564,0,0,3,4.09,0,0,2,0,130,9.23,4981,8442.31
"GUJARAT","SURENDRANAGAR",4,32.61,3318,16658.86,797,2207.35,93,610.32,1,10,0,0,24,230,4237,19749.14
"GUJARAT","VADODARA",18,90,452,1293.8,2249,17591.63,156,1037.37,2,10,0,0,247,33,3124,20055.8
"GUJARAT","VALSAD",151,274.27,438,518.12,311,252.35,778,1353.65,5,1.52,0,0,0,0,1683,2399.91
"HARYANA","AMBALA",13698,57450.66,776,3766.5,0,0,0,0,0,0,0,0,0,0,14474,61217.16
"HARYANA","BHIWANI",16714,62956.4,6513,17190.92,0,0,0,0,0,0,0,0,0,0,23227,80147.32
"HARYANA","FARIDABAD",16381,76100.96,2007,10217.06,0,0,0,0,0,0,0,0,0,0,18388,86318.02
"HARYANA","FATEHABAD",17330,109377.88,1789,10688.6,0,0,0,0,0,0,0,0,0,0,19119,120066.48
"HARYANA","GURGAON",8543,27792.24,794,2571.92,0,0,0,0,0,0,0,0,0,0,9337,30364.16
"HARYANA","HISSAR",15688,72488.02,7079,25716.96,0,0,0,0,0,0,0,0,0,0,22767,98204.98
"HARYANA","JHAJJAR",15637,37960.7,2643,6199.34,0,0,0,0,0,0,0,0,0,0,18280,44160.04
"HARYANA","JIND",23833,99278.48,8882,32974.44,0,0,0,0,0,0,0,0,0,0,32715,132252.92
"HARYANA","KAITHAL",27259,151712.8,4984,22628.86,0,0,0,0,0,0,0,0,0,0,32243,174341.66
"HARYANA","KARNAL",39404,218738.64,1751,10850.98,0,0,0,0,0,0,0,0,0,0,41155,229589.62
"HARYANA","KURUKSHETRA",27357,191239.34,1587,12428.82,0,0,0,0,0,0,0,0,0,0,28944,203668.16
"HARYANA","MAHENDRAGARH",7707,33981.98,11176,55810,0,0,0,0,0,0,0,0,0,0,18883,89791.98
"HARYANA","MEWAT",7729,47532.28,2423,10785.58,0,0,0,0,0,0,0,0,0,0,10152,58317.86
"HARYANA","PANCHKULA",1109,4428.56,477,2736.82,0,0,0,0,0,0,0,0,0,0,1586,7165.38
"HARYANA","PANIPAT",14337,73444.06,2339,11688.98,0,0,0,0,0,0,0,0,0,0,16676,85133.04
"HARYANA","REWARI",15941,79715.14,2014,11037.62,0,0,0,0,0,0,0,0,0,0,17955,90752.76
"HARYANA","ROHTAK",12619,40596.22,790,2893.88,0,0,0,0,0,0,0,0,0,0,13409,43490.1
"HARYANA","SIRSA",19882,112357.62,4717,30619.96,0,0,0,0,0,0,0,0,0,0,24599,142977.58
"HARYANA","SONEPAT",26441,90612.96,8511,28679.18,0,0,0,0,0,0,0,0,0,0,34952,119292.14
"HARYANA","YAMUNANAGAR",16603,99109.94,2858,14651.24,0,0,0,0,0,0,0,0,0,0,19461,113761.18
"HIMACHAL PRADESH","Bilaspur",0,0,2,4.1,6,68.47,0,0,0,0,0,0,0,0,8,72.57
"HIMACHAL PRADESH","Hamirpur",2,3.32,1,0.84,0,0,17,21.42,0,0,1,0.5,0,0,21,26.08
"HIMACHAL PRADESH","Kangra",59,1785.84,617,3472.97,27,951.77,113,456.01,0,0,0,0,24,130.25,840,6796.84
"HIMACHAL PRADESH","Mandi",0,0,4,12.86,0,0,1,2,0,0,0,0,0,0,5,14.86
"HIMACHAL PRADESH","Sirmaur",36,582.49,58,199.99,4,993.04,53,260.46,0,0,0,0,10,0,161,2035.98
"HIMACHAL PRADESH","Solan",49,446.97,325,2122.15,35,1050.69,31,111.83,3,6,2,4.6,4,11,449,3753.24
"HIMACHAL PRADESH","Una",204,939.61,1448,4327.05,61,797.48,59,76.17,3,3.8,25,68.71,16,56.76,1816,6269.58
"JAMMU & KASHMIR","JAMMU",186,452.49,1356,3397.69,35,91.66,18,28.36,78,43.52,3,12,5,5.2,1681,4030.92
"JAMMU & KASHMIR","KATHUA",19,52,203,525,0,0,4,14,0,0,0,0,1,0,227,591
"JAMMU & KASHMIR","PULWAMA",0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,6
"JAMMU & KASHMIR","UDHAMPUR",0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16
"JHARKHAND","BOKARO",2,0.5,14,8,0,0,0,0,0,0,0,0,11,1.43,27,9.93
"JHARKHAND","CHATRA",0,0,24,11.8,0,0,0,0,0,0,0,0,0,0,24,11.8
"JHARKHAND","DEOGHAR",0,0,10,0,0,0,7,0,0,0,0,0,1,0,18,0
"JHARKHAND","DHANBAD",3,0,86,99.9,2,1,0,0,0,0,0,0,1,0,92,100.9
"JHARKHAND","EAST SINGHBHUM",1,4,509,1129.71,1,1.71,16,30.6,1,0.9,0,0,13,3.85,541,1170.77
"JHARKHAND","GARHWA",7,13.7,41,23,2,0,9,12.5,0,0,0,0,0,0,59,49.2
"JHARKHAND","GIRIDIH",3,7.94,30,16.49,1,0.37,1,0.37,0,0,0,0,0,0,35,25.17
"JHARKHAND","GODDA",5,28.6,105,690.2,2,14.4,3,21.6,0,0,0,0,0,0,115,754.8
"JHARKHAND","GUMLA",3,0,18,0,0,0,0,0,0,0,0,0,0,0,21,0
"JHARKHAND","HAZARIBAGH",0,0,1,0.44,0,0,0,0,0,0,0,0,0,0,1,0.44
"JHARKHAND","JAMTARA",1,3.24,15,11.85,0,0,0,0,0,0,0,0,0,0,16,15.09
"JHARKHAND","KHUNTI",8,4.8,23,3.7,0,0,0,0,0,0,0,0,9,12.2,40,20.7
"JHARKHAND","KODERMA",16,28.2,14,11.31,0,0,0,0,0,0,0,0,0,0,30,39.51
"JHARKHAND","LATEHAR",0,0,7,17.85,0,0,0,0,0,0,0,0,0,0,7,17.85
"JHARKHAND","LOHARDAGA",1,0.3,7,11.62,0,0,0,0,0,0,0,0,0,0,8,11.92
"JHARKHAND","PAKUR",24,53.4,251,135,5,5,6,7,0,0,0,0,1,1.6,287,202
"JHARKHAND","PALAMU",3,6,209,411.4,0,0,0,0,0,0,0,0,1,2,213,419.4
"JHARKHAND","RAMGARH",1,0,7,1.55,0,0,0,0,0,0,0,0,0,0,8,1.55
"JHARKHAND","RANCHI",9,5.26,57,29.85,15,10.1,0,0,4,0,1,1,1,0,87,46.21
"JHARKHAND","SAHEBGANJ",3,10,349,239.27,0,0,2,8,1,1,0,0,0,0,355,258.27
"JHARKHAND","SARAIKELA",0,0,24,18.63,1,0,0,0,0,0,0,0,2,0.98,27,19.61
"JHARKHAND","SIMDEGA",0,0,52,39.68,0,0,0,0,0,0,0,0,0,0,52,39.68
"JHARKHAND","WEST SINGHBHUM",0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4
"KARNATAKA","Bagalkote",2538,6883,1640,3319.2,20504,54997.14,2749,6719.13,401,1378.65,1413,5287.32,103,96.75,29348,78681.19
"KARNATAKA","Bangalore",3024,3514.26,1108,1188.73,8776,10034.52,55,63.77,86,187.41,13,24.83,875,35.39,13937,15048.91
"KARNATAKA","Bangalore Rural",7125,7403.74,10985,11310.88,17174,17583.37,2403,1996.48,2743,3078.64,337,455.09,2686,143.13,43453,41971.33
"KARNATAKA","Belgaum",8084,16106.34,7331,15769.48,22553,45456.23,4033,7027.81,70,118.97,42,229.17,1371,655.26,43484,85363.26
"KARNATAKA","Bellary",3739,9979.87,4415,11969.81,13171,35030.4,186,525.56,62,200.09,14,36.88,550,488.6,22137,58231.21
"KARNATAKA","Bidar",1724,2384.46,7970,9430.71,5161,6915.9,227,323.16,29,28.72,3,1.97,151,96.47,15265,19181.39
"KARNATAKA","Bijapur",3154,7189.34,2977,7231.7,8551,23095.34,1680,5455.86,1870,4388.56,20,48.86,83,22.56,18335,47432.22
